iter	Passed	Remaining
691	22148	24133
692	22183	24103
693	22217	24073
694	22248	24040
695	22279	24008
696	22311	23975
697	22342	23942
698	22371	23907
699	22403	23875
700	22435	23843
701	22467	23811
702	22498	23778
703	22529	23745
704	22559	23711
705	22592	23680
706	22624	23648
707	22654	23614
708	22690	23586
709	22721	23553
710	22752	23520
711	22785	23489
712	22816	23456
713	22847	23423
714	22878	23390
715	22911	23359
716	22940	23324
717	22974	23294
718	23005	23261
719	23035	23227
720	23066	23194
721	23096	23160
722	23128	23128
723	23159	23095
724	23190	23062
725	23221	23030
726	23252	22996
727	23284	22965
728	23315	22931
729	23347	22899
730	23378	22866
731	23410	22835
732	23440	22800
733	23471	22767
734	23503	22735
735	23533	22702
736	23565	22670
737	23599	22640
738	23632	22609
739	23663	22576
740	23700	22548
741	23732	22517
742	23762	22483
743	23794	22451
744	23825	22417
745	23857	22385
746	23887	22352
747	23917	22319
748	23951	22288
749	23984	22257
750	24016	22225
751	24046	22191
752	24078	22160
753	24109	22127
754	24140	22093
755	24171	22061
756	24204	22030
757	24234	21996
758	24265	21963
759	24296	21931
760	24326	21896
761	24359	21865
762	24389	21831
763	24418	21797
764	24450	21766
765	24484	21735
766	24516	21704
767	24546	21670
768	24579	21638
769	24613	21608
770	24642	21574
771	24674	21542
772	24709	21512
773	24742	21481
774	24775	21450
775	24810	21421
776	24843	21389
777	24873	21357
778	24907	21326
779	24939	21294
780	24974	21265
781	25008	21234
782	25040	21203
783	25071	21170
784	25104	21138
785	25135	21105
786	25163	21071
787	25193	21037
788	25226	21006
789	25257	20973
790	25289	20941
791	25322	20909
792	25353	20877
793	25385	20845
794	25417	20813
795	25450	20782
796	25480	20748
797	25512	20717
798	25544	20684
799	25578	20654
800	25611	20623
801	25643	20591
802	25674	20559
803	25709	20529
804	25742	20497
805	25771	20463
806	25802	20431
807	25834	20399
808	25865	20366
809	25896	20333
810	25928	20301
811	25959	20268
812	25992	20237
813	26025	20206
814	26056	20173
815	26087	20140
816	26118	20108
817	26149	20075
818	26179	20042
819	26211	20010
820	26244	19979
821	26274	19945
822	26305	19912
823	26335	19879
824	26363	19844
825	26395	19812
826	26425	19779
827	26458	19747
828	26487	19713
829	26518	19681
830	26551	19650
831	26584	19618
832	26614	19585
833	26646	19553
834	26676	19520
835	26712	19490
836	26743	19458
837	26778	19428
838	26811	19397
839	26840	19363
840	26873	19332
841	26905	19300
842	26938	19268
843	26969	19236
844	26997	19201
845	27029	19170
846	27059	19136
847	27090	19103
848	27121	19071
849	27154	19040
850	27186	19008
851	27219	18977
852	27251	18945
853	27284	18913
854	27316	18881
855	27347	18849
856	27377	18815
857	27408	18783
858	27441	18752
859	27473	18720
860	27504	18687
